Hour,Date,X,Y,Z,,,,
,04/05/2025  03:30:00 a. m.,Magnetic Field in X-Axis : 65402,,,,,,
,04/05/2025  03:30:00 a. m.,Magnetic Field in Y-Axis : 65333,,,,,,
,04/05/2025  03:30:00 a. m.,Magnetic Field in Z-Axis : 65444,,,,,,
,04/05/2025  03:40:00 a. m.,Magnetic Field in X-Axis : 65403,,,,,,
,04/05/2025  03:40:00 a. m.,Magnetic Field in Y-Axis : 65359,,,,,,
,04/05/2025  03:40:00 a. m.,Magnetic Field in Z-Axis : 65367,,,,,,
,04/05/2025  03:50:00 a. m.,Magnetic Field in X-Axis : 65401,,,,,,
,04/05/2025  03:50:00 a. m.,Magnetic Field in Y-Axis : 65325,,,,,,
,04/05/2025  03:50:00 a. m.,Magnetic Field in Z-Axis : 65417,,,,,,
,04/05/2025  04:00:00 a. m.,Magnetic Field in X-Axis : 65409,,,,,,
,04/05/2025  04:00:00 a. m.,Magnetic Field in Y-Axis : 65323,,,,,,
,04/05/2025  04:00:00 a. m.,Magnetic Field in Z-Axis : 65417,,,,,,
,04/05/2025  04:10:00 a. m.,Magnetic Field in X-Axis : 65428,,,,,,
,04/05/2025  04:10:00 a. m.,Magnetic Field in Y-Axis : 65337,,,,,,
,04/05/2025  04:10:00 a. m.,Magnetic Field in Z-Axis : 65453,,,,,,
,04/05/2025  04:20:00 a. m.,Magnetic Field in X-Axis : 65411,,,,,,
,04/05/2025  04:20:00 a. m.,Magnetic Field in Y-Axis : 65353,,,,,,
,04/05/2025  04:20:00 a. m.,Magnetic Field in Z-Axis : 65437,,,,,,
,04/05/2025  04:30:00 a. m.,Magnetic Field in X-Axis : 65429,,,,,,
,04/05/2025  04:30:00 a. m.,Magnetic Field in Y-Axis : 65355,,,,,,
,04/05/2025  04:30:00 a. m.,Magnetic Field in Z-Axis : 65377,,,,,,
,04/05/2025  04:40:00 a. m.,Magnetic Field in X-Axis : 65430,,,,,,
,04/05/2025  04:40:00 a. m.,Magnetic Field in Y-Axis : 65334,,,,,,
,04/05/2025  04:40:00 a. m.,Magnetic Field in Z-Axis : 65435,,,,,,
,04/05/2025  04:50:00 a. m.,Magnetic Field in X-Axis : 65413,,,,,,
,04/05/2025  04:50:00 a. m.,Magnetic Field in Y-Axis : 65342,,,,,,
,04/05/2025  04:50:00 a. m.,Magnetic Field in Z-Axis : 65425,,,,,,
,04/05/2025  05:00:00 a. m.,Magnetic Field in X-Axis : 65407,,,,,,
,04/05/2025  05:00:00 a. m.,Magnetic Field in Y-Axis : 65340,,,,,,
,04/05/2025  05:00:00 a. m.,Magnetic Field in Z-Axis : 65443,,,,,,
,04/05/2025  05:10:00 a. m.,Magnetic Field in X-Axis : 65412,,,,,,
,04/05/2025  05:10:00 a. m.,Magnetic Field in Y-Axis : 65337,,,,,,
